target,keyword,kind,url
Deno,deno,Homepage,https://deno.land
Google Cloud Platform,google\scloud\splatform|gcp,Search By Reference,https://cloud.google.com/s/results?q=%s
Google Cloud Platform,google\scloud\splatform|gcp,Reference,https://cloud.google.com/docs
Google Cloud Platform,google\scloud\splatform|gcp,Homepage,https://cloud.google.com
Next.js,next.js|next,Reference,https://nextjs.org/docs
Next.js,next.js|next,Homepage,https://nextjs.org
Nuxt.js,nuxt.js|nuxt,Homepage,https://nuxtjs.org
Apache,apache,Homepage,https://httpd.apache.org
Kotlin,kotlin,Search By Reference,https://kotlinlang.org/docs/home.html?q=%s
Kotlin,kotlin,Reference,https://kotlinlang.org/docs
Kotlin,kotlin,Homepage,https://kotlinlang.org
nginx,nginx,Reference,https://nginx.org/en/docs
nginx,nginx,Homepage,https://nginx.org
Kubernetes,k8s|kubernetes,Search By Reference,https://kubernetes.io/search/?q=%s
Kubernetes,k8s|kubernetes,Reference,https://kubernetes.io/docs
Kubernetes,k8s|kubernetes,Homepage,https://kubernetes.io
Heroku,heroku,Search By Reference,https://devcenter.heroku.com/search?utf8=%E2%9C%93&q=%s
Heroku,heroku,Reference,https://devcenter.heroku.com/categories/reference
Heroku,heroku,Homepage,https://www.heroku.com/home
Rust,rust,Search By Reference,https://doc.rust-lang.org/reference/?search=%s
Rust,rust,Reference,https://doc.rust-lang.org/reference
Rust,rust,Homepage,https://www.rust-lang.org
Flutter,flutter,Reference,https://flutter.dev/docs
Flutter,flutter,Homepage,https://flutter.dev
Firebase,firebase,Reference,https://firebase.google.com/docs
Firebase,firebase,Homepage,https://firebase.google.com
Twitter Developer Platform,twitter,Search By Reference,https://developer.twitter.com/en/search-results?q=%s
Twitter Developer Platform,twitter,Reference,https://developer.twitter.com/en/docs
Twitter Developer Platform,twitter,Homepage,https://developer.twitter.com/en
VSCode,vscode,Search By Reference,https://code.visualstudio.com/Search?q=%s
VSCode,vscode,Reference,https://code.visualstudio.com/docs
VSCode,vscode,Homepage,https://code.visualstudio.com
Unity,unity,Search By Reference,https://docs.unity3d.com/Manual/30_search.html?q=%s
Unity,unity,Reference,https://docs.unity3d.com/Manual/index.html
Unity,unity,Homepage,https://unity.com
Laravel ja,laravel,Homepage,http://laravel.jp
Laravel en,laravel,Reference,https://laravel.com/docs
Laravel en,laravel,Homepage,https://laravel.com
TypeScript,typescript,Reference,https://www.typescriptlang.org/docs
TypeScript,typescript,Homepage,https://www.typescriptlang.org
Swift,swift,Homepage,https://swift.org
MySQL,mysql,Search By Reference,https://dev.mysql.com/doc/search/?q=%s
MySQL,mysql,Reference,https://dev.mysql.com/doc
MySQL,mysql,Homepage ja,https://www.mysql.com/jp
MySQL,mysql,Homepage,https://www.mysql.com
React ja,react,Reference,https://ja.reactjs.org/docs
React ja,react,Homepage,https://ja.reactjs.org
React en,react,Reference,https://reactjs.org/docs
React en,react,Homepage,https://reactjs.org
Node.js en,node\.js|node,Reference v15.x,https://nodejs.org/docs/latest-v15.x/api
Node.js en,node\.js|node,Homepage,https://nodejs.org/en
CSS en,css,Search By Reference,https://developer.mozilla.org/en-US/search?q=%s
CSS en,css,Reference,https://developer.mozilla.org/en-US/docs/Web/CSS
CSS ja,css,Search By Reference,https://developer.mozilla.org/ja/search?q=%s
CSS ja,css,Reference,https://developer.mozilla.org/ja/docs/Web/CSS
HTML en,html,Search By Reference,https://developer.mozilla.org/en-US/search?q=%s
HTML en,html,Reference,https://developer.mozilla.org/en-US/docs/Web/HTML
HTML ja,html,Search By Reference,https://developer.mozilla.org/ja/search?q=%s
HTML ja,html,Reference,https://developer.mozilla.org/ja/docs/Web/HTML
Docker,docker,Search By Reference,https://docs.docker.com/search/?q=%s
Docker,docker,Reference,https://docs.docker.com
Docker,docker,Homepage,https://www.docker.com
Git,git,Search By Reference,https://git-scm.com/search/results?search=%s
